jogo,time,adversario,tempo,torre,inibidor,barao,dragao,arauto,ama,ouro,lado/status
Jogo 1,BLG,FNC,32:59,9,2,1,3,0,15/8/48,64084,VITÓRIA TIME AZUL
Jogo 1,FNC,BLG,32:59,3,0,0,2,2,8/15/18,54581,DERROTA TIME VERMELHO
Jogo 1,T1,C9,22:25,10,2,1,3,2,15/0/34,48782,VITÓRIA TIME AZUL
Jogo 1,C9,T1,22:25,2,0,0,0,0,0/15/0,34549,DERROTA TIME VERMELHO
Jogo 1,G2,GEN,31:41,3,0,0,2,2,5/20/12,53369,DERROTA TIME AZUL
Jogo 1,GEN,G2,31:41,10,1,1,3,0,20/5/47,64364,VITÓRIA TIME VERMELHO
Jogo 2,G2,GEN,31:56,2,0,0,1,0,6/22/12,52798,DERROTA TIME AZUL
Jogo 2,GEN,G2,31:56,9,1,2,3,2,22/6/54,67760,VITÓRIA TIME VERMELHO
Jogo 1,JDG,LNG,27:39,8,1,1,1,0,15/7/48,55280,VITÓRIA TIME AZUL
Jogo 1,LNG,JDG,27:39,3,0,0,3,2,7/15/13,45476,DERROTA TIME VERMELHO
Jogo 2,LNG,JDG,28:30,8,1,1,3,1,14/2/43,57330,VITÓRIA TIME AZUL
Jogo 2,JDG,LNG,28:30,0,0,0,1,1,2/14/6,44283,DERROTA TIME VERMELHO
Jogo 3,JDG,LNG,26:35,8,1,1,2,1,14/6/38,52486,VITÓRIA TIME AZUL
Jogo 3,LNG,JDG,26:35,2,0,0,1,1,6/14/16,43976,DERROTA TIME VERMELHO
Jogo 1,DK,KT,32:1,4,0,0,3,1,4/16/8,51313,DERROTA TIME AZUL
Jogo 1,KT,DK,32:1,9,2,1,1,1,16/4/49,61912,VITÓRIA TIME VERMELHO
Jogo 1,JDG,BLG,24:38,10,2,1,4,2,19/7/46,52171,VITÓRIA TIME AZUL
Jogo 1,BLG,JDG,24:38,1,0,0,0,0,7/19/17,39905,DERROTA TIME VERMELHO
Jogo 1,G2,WB,38:24,9,1,1,1,1,26/23/79,75520,VITÓRIA TIME AZUL
Jogo 1,WB,G2,38:24,7,0,2,4,1,23/26/43,75177,DERROTA TIME VERMELHO
Jogo 1,GEN,T1,29:41,9,1,1,4,1,14/6/27,58370,VITÓRIA TIME AZUL
Jogo 1,T1,GEN,29:41,4,0,0,1,1,6/14/8,50063,DERROTA TIME VERMELHO
Jogo 1,FNC,GAM,24:9,8,1,1,2,2,18/7/32,49855,VITÓRIA TIME AZUL
Jogo 1,GAM,FNC,24:9,2,0,0,1,0,7/18/8,40080,DERROTA TIME VERMELHO
Jogo 1,MAD,BDS,31:51,10,1,1,4,2,18/8/38,65500,VITÓRIA TIME AZUL
Jogo 1,BDS,MAD,31:51,2,0,1,1,0,8/18/20,54765,DERROTA TIME VERMELHO
Jogo 1,C9,LNG,32:13,4,0,1,1,2,6/14/16,55531,DERROTA TIME AZUL
Jogo 1,LNG,C9,32:13,10,2,1,4,0,14/6/32,62802,VITÓRIA TIME VERMELHO
Jogo 1,NRG,TL,31:38,9,1,1,2,2,22/4/50,60491,VITÓRIA TIME AZUL
Jogo 1,TL,NRG,31:38,3,0,0,2,0,4/22/8,48164,DERROTA TIME VERMELHO
Jogo 1,BLG,KT,45:16,10,2,2,4,0,20/10/64,85814,VITÓRIA TIME AZUL
Jogo 1,KT,BLG,45:16,4,0,1,2,2,10/20/18,76138,DERROTA TIME VERMELHO
Jogo 1,LNG,FNC,29:11,9,1,2,2,2,22/9/49,60844,VITÓRIA TIME AZUL
Jogo 1,FNC,LNG,29:11,4,0,0,2,0,9/22/18,50390,DERROTA TIME VERMELHO
Jogo 1,WB,NRG,29:11,9,1,2,3,2,12/3/22,61041,VITÓRIA TIME AZUL
Jogo 1,NRG,WB,29:11,2,0,0,1,0,3/12/4,45834,DERROTA TIME VERMELHO
Jogo 1,G2,DK,42:12,10,2,1,5,2,16/9/43,80837,VITÓRIA TIME AZUL
Jogo 1,DK,G2,42:12,4,0,2,1,0,9/16/23,68279,DERROTA TIME VERMELHO
Jogo 1,BDS,JDG,27:4,5,0,0,1,1,6/14/11,46972,DERROTA TIME AZUL
Jogo 1,JDG,BDS,27:4,9,2,1,3,1,14/6/44,53153,VITÓRIA TIME VERMELHO
Jogo 1,GEN,GAM,22:35,9,2,1,2,1,22/5/54,50430,VITÓRIA TIME AZUL
Jogo 1,GAM,GEN,22:35,1,0,0,0,1,5/22/8,37445,DERROTA TIME VERMELHO
Jogo 1,C9,MAD,30:59,9,1,2,3,1,10/3/23,59849,VITÓRIA TIME AZUL
